Loading news classifier ...
Now testing Naive Bayes: TFIDF
Total:648| True Positive:216| True Negative:137| False Positive:196| False Negative:99
Total:648| True Positive:193| True Negative:165| False Positive:169| False Negative:121
Total:648| True Positive:193| True Negative:170| False Positive:151| False Negative:134
Total:648| True Positive:235| True Negative:115| False Positive:226| False Negative:72
Total:648| True Positive:192| True Negative:157| False Positive:167| False Negative:132
Total:648| True Positive:195| True Negative:172| False Positive:162| False Negative:119
Total:648| True Positive:204| True Negative:170| False Positive:142| False Negative:132
Total:648| True Positive:192| True Negative:159| False Positive:163| False Negative:134
Total:648| True Positive:197| True Negative:154| False Positive:164| False Negative:133
Total:648| True Positive:201| True Negative:171| False Positive:141| False Negative:135
Total:648| True Positive:214| True Negative:145| False Positive:161| False Negative:128
Total:648| True Positive:206| True Negative:132| False Positive:188| False Negative:122
Total:648| True Positive:222| True Negative:134| False Positive:188| False Negative:104
Total:648| True Positive:176| True Negative:169| False Positive:181| False Negative:122
Total:648| True Positive:189| True Negative:152| False Positive:171| False Negative:136
Total:648| True Positive:233| True Negative:132| False Positive:193| False Negative:90
Total:648| True Positive:190| True Negative:175| False Positive:147| False Negative:136
Total:648| True Positive:231| True Negative:134| False Positive:184| False Negative:99
Total:648| True Positive:225| True Negative:125| False Positive:193| False Negative:105
Total:648| True Positive:182| True Negative:167| False Positive:154| False Negative:145
Total:648| True Positive:190| True Negative:161| False Positive:151| False Negative:146
Total:648| True Positive:229| True Negative:122| False Positive:225| False Negative:72
Total:648| True Positive:202| True Negative:157| False Positive:169| False Negative:120
Total:648| True Positive:190| True Negative:166| False Positive:147| False Negative:145
Total:648| True Positive:183| True Negative:161| False Positive:156| False Negative:148
Total:648| True Positive:195| True Negative:162| False Positive:156| False Negative:135
Now testing Logistic Regression: TFIDF
Total:648| True Positive:247| True Negative:297| False Positive:48| False Negative:56
Total:648| True Positive:287| True Negative:260| False Positive:49| False Negative:52
Total:648| True Positive:266| True Negative:279| False Positive:51| False Negative:52
Total:648| True Positive:259| True Negative:270| False Positive:46| False Negative:73
Total:648| True Positive:263| True Negative:290| False Positive:43| False Negative:52
Total:648| True Positive:262| True Negative:280| False Positive:54| False Negative:52
Total:648| True Positive:268| True Negative:270| False Positive:51| False Negative:59
Total:648| True Positive:242| True Negative:294| False Positive:47| False Negative:65
Total:648| True Positive:262| True Negative:273| False Positive:51| False Negative:62
Total:648| True Positive:261| True Negative:288| False Positive:46| False Negative:53
Total:648| True Positive:285| True Negative:262| False Positive:50| False Negative:51
Total:648| True Positive:277| True Negative:263| False Positive:59| False Negative:49
Total:648| True Positive:247| True Negative:271| False Positive:47| False Negative:83
Total:648| True Positive:266| True Negative:259| False Positive:53| False Negative:70
Total:648| True Positive:275| True Negative:251| False Positive:55| False Negative:67
Total:648| True Positive:261| True Negative:269| False Positive:51| False Negative:67
Total:648| True Positive:279| True Negative:267| False Positive:55| False Negative:47
Total:648| True Positive:253| True Negative:290| False Positive:60| False Negative:45
Total:648| True Positive:259| True Negative:265| False Positive:58| False Negative:66
Total:648| True Positive:267| True Negative:274| False Positive:51| False Negative:56
Total:648| True Positive:270| True Negative:269| False Positive:53| False Negative:56
Total:648| True Positive:265| True Negative:271| False Positive:47| False Negative:65
Total:648| True Positive:269| True Negative:276| False Positive:42| False Negative:61
Total:648| True Positive:262| True Negative:265| False Positive:56| False Negative:65
Total:648| True Positive:279| True Negative:272| False Positive:40| False Negative:57
Total:648| True Positive:259| True Negative:278| False Positive:69| False Negative:42
Total:648| True Positive:264| True Negative:266| False Positive:60| False Negative:58
Total:648| True Positive:274| True Negative:278| False Positive:35| False Negative:61
Total:648| True Positive:273| True Negative:268| False Positive:49| False Negative:58
Total:648| True Positive:258| True Negative:279| False Positive:39| False Negative:72
Now testing Logistic Regression: Word2Vec
Total:648| True Positive:201| True Negative:135| False Positive:210| False Negative:102
Total:648| True Positive:202| True Negative:158| False Positive:151| False Negative:137
Total:648| True Positive:224| True Negative:127| False Positive:203| False Negative:94
Total:648| True Positive:198| True Negative:164| False Positive:152| False Negative:134
Total:648| True Positive:213| True Negative:138| False Positive:195| False Negative:102
